Player,From,To,Years,Pos,Ht,Height,Wt,G,PTS,TRB,AST,FG%,FG3%,FT%,eFG%,PER,WS,All Star,All NBA,All ABA,All Rookie,All Defensive,BLK Champ,STL Champ,TRB Champ,AST Champ,Scoring Champ,Most Improved,Sixth Man,DPOY,ROY,AS MVP,CF MVP,Finals MVP,MVP,Championships,NBA 75 Team,ABA All-Time Team
William Cunningham,1998,1999,2,C,6-11,6.916666666666667,250.0,23,0.6,1.7,0.1,25.9,14.2,0.0,25.9,2.2,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Radisav Ćurčić,1993,1993,1,C,6-10,6.833333333333333,275.0,20,2.9,2.5,0.6,39.0,14.2,72.2,39.0,13.5,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armand Cure,1947,1947,1,F,6-0,6.0,198.0,12,0.8,3.0,0.0,26.7,23.4,66.7,45.3,10.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Earl Cureton,1981,1997,17,F-C,6-9,6.75,210.0,674,5.4,4.7,1.0,47.3,0.0,53.8,47.3,10.4,14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Bill Curley,1995,2001,7,F,6-9,6.75,220.0,147,2.7,2.0,0.4,44.4,22.2,74.3,44.6,8.2,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fran Curran,1949,1950,2,G,6-0,6.0,175.0,123,4.9,1.8,1.2,39.5,27.9,77.4,44.1,10.3,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dell Curry,1987,2002,16,G,6-4,6.333333333333333,190.0,1083,11.7,2.4,1.8,45.7,40.2,84.3,51.3,16.0,41.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Eddy Curry,2002,2013,12,C,7-0,7.0,295.0,527,12.9,5.2,0.5,54.5,100.0,64.2,54.5,15.9,21.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
JamesOn Curry,2010,2010,1,G,6-3,6.25,190.0,1,0.0,0.0,0.0,38.6,27.9,73.7,44.1,10.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Curry,1994,2005,12,G-F,6-5,6.416666666666667,210.0,667,4.5,1.6,1.2,44.7,29.8,82.5,46.3,7.5,17.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seth Curry,2014,2022,9,G,6-2,6.166666666666667,185.0,377,11.3,2.2,2.2,47.7,43.9,85.4,58.8,13.9,20.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephen Curry,2010,2022,13,G,6-2,6.166666666666667,185.0,826,24.3,4.6,6.5,47.3,42.8,90.8,58.1,23.8,120.2,8,8,0,1,0,0,1,0,0,2,0,0,0,0,1,1,1,2,4,1,0
Rastko Cvetković,1996,1996,1,C,7-1,7.083333333333333,260.0,14,0.7,0.8,0.2,31.3,0.0,0.0,31.3,2.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike D'Antoni,1974,1977,4,G,6-3,6.25,185.0,180,3.4,1.5,2.0,41.4,0.0,73.5,41.4,10.2,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Dabich,1968,1968,1,C,7-0,7.0,242.0,10,2.0,1.3,0.2,66.7,14.2,44.4,66.7,12.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ed Dahler,1952,1952,1,F,6-5,6.416666666666667,190.0,14,2.5,1.6,0.4,36.8,23.4,100.0,45.3,10.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quintin Dailey,1983,1992,10,G,6-3,6.25,180.0,528,14.1,2.5,2.3,45.4,15.8,77.9,45.6,15.1,12.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samuel Dalembert,2002,2015,14,C,6-11,6.916666666666667,255.0,886,7.7,7.8,0.5,52.1,8.3,70.6,52.1,15.4,51.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Howie Dallmar,1947,1949,3,F,6-4,6.333333333333333,200.0,146,9.6,3.0,2.3,28.3,23.4,69.8,45.3,10.9,15.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Erick Dampier,1997,2012,16,C,6-11,6.916666666666667,265.0,987,7.4,7.1,0.8,49.8,12.5,62.6,49.8,14.3,52.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Louie Dampier*,1968,1979,12,G,6-0,6.0,170.0,960,15.9,2.6,4.9,44.4,35.8,82.0,47.4,15.2,74.1,7,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Bob Dandridge*,1970,1982,13,G-F,6-6,6.5,195.0,839,18.5,6.8,3.4,48.4,16.7,78.0,48.4,16.7,80.3,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Antonio Daniels,1998,2011,14,G,6-4,6.333333333333333,195.0,872,7.6,1.8,3.4,44.4,31.1,79.3,47.9,14.6,47.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Erik Daniels,2005,2005,1,F,6-8,6.666666666666667,214.0,21,0.6,0.9,0.2,33.3,50.0,67.6,36.1,4.6,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lloyd Daniels,1993,1998,6,G,6-7,6.583333333333333,205.0,200,7.1,2.2,1.6,40.3,31.6,74.3,45.8,11.5,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marquis Daniels,2004,2013,10,G-F,6-6,6.5,200.0,548,7.9,2.8,1.8,45.1,23.5,72.1,46.4,12.9,16.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mel Daniels*,1968,1977,10,C,6-9,6.75,220.0,639,18.4,14.9,1.8,46.8,8.8,65.7,46.8,20.1,64.8,7,0,5,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,3,0,1
Troy Daniels,2014,2020,7,G,6-4,6.333333333333333,200.0,339,6.6,1.3,0.5,40.1,39.5,79.9,54.6,10.4,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sasha Danilović,1996,1997,2,G,6-5,6.416666666666667,200.0,75,12.8,2.4,2.0,43.9,37.9,78.9,51.8,11.7,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adrian Dantley*,1977,1991,15,G-F,6-5,6.416666666666667,208.0,955,24.3,5.7,3.0,54.0,17.1,81.8,54.0,21.5,134.2,6,2,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
Pete Darcey,1953,1953,1,C,6-7,6.583333333333333,217.0,12,0.9,0.8,0.2,16.7,14.2,55.6,45.9,-5.7,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jimmy Darden,1950,1950,1,G,6-1,6.083333333333333,170.0,26,8.1,1.8,2.6,32.1,27.9,68.8,44.1,10.3,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ollie Darden,1968,1970,3,F-C,6-7,6.583333333333333,235.0,223,9.2,6.2,1.0,43.5,18.2,69.5,43.6,13.4,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Yinka Dare,1995,1998,4,C,7-0,7.0,265.0,110,2.1,2.6,0.0,39.6,14.2,57.0,39.6,6.2,-0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jesse Dark,1975,1975,1,G,6-5,6.416666666666667,210.0,47,3.6,0.8,0.6,47.1,27.9,55.0,44.1,11.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nate Darling,2021,2021,1,G,6-6,6.5,200.0,7,1.3,0.1,0.1,28.6,28.6,100.0,42.9,8.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rick Darnell,1976,1976,1,F-C,6-10,6.833333333333333,215.0,11,2.4,3.3,0.8,36.7,17.7,57.1,36.7,4.7,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jimmy Darrow,1962,1962,1,G,5-10,5.833333333333333,170.0,5,2.4,1.4,1.2,20.0,27.9,85.7,44.1,6.0,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gigi Datome,2014,2015,2,F,6-8,6.666666666666667,215.0,55,3.4,1.4,0.4,41.4,31.6,81.8,48.1,11.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brad Daugherty,1987,1994,8,C,7-0,7.0,245.0,548,19.0,9.5,3.7,53.2,14.3,74.7,53.2,18.9,65.2,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mack Daughtry,1971,1971,1,G,6-3,6.25,175.0,4,3.3,1.3,0.8,40.0,27.9,100.0,40.0,11.9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kornél Dávid,1999,2001,3,F,6-9,6.75,235.0,109,5.0,2.8,0.6,44.6,0.0,81.7,44.6,12.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jermareo Davidson,2008,2009,2,F,6-10,6.833333333333333,230.0,52,3.1,1.8,0.3,42.5,23.4,57.8,42.5,10.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bob Davies*,1949,1955,7,G-F,6-1,6.083333333333333,175.0,462,14.3,2.9,4.9,37.8,28.6,75.9,47.1,18.1,49.7,4,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Brandon Davies,2014,2015,2,F,6-10,6.833333333333333,240.0,78,3.7,2.5,0.7,41.1,22.7,64.4,43.0,8.7,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Davis,2013,2022,10,F-C,6-10,6.833333333333333,253.0,604,23.8,10.2,2.3,51.5,30.3,79.4,52.9,26.9,91.3,8,4,0,1,4,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
Antonio Davis,1994,2006,13,F-C,6-9,6.75,215.0,903,10.0,7.5,1.1,44.8,8.7,72.7,44.8,14.1,59.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aubrey Davis,1947,1947,1,G-F,6-2,6.166666666666667,175.0,59,4.9,3.1,0.2,28.1,28.6,63.5,47.1,12.5,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baron Davis,2000,2012,13,G,6-3,6.25,209.0,835,16.1,3.8,7.2,40.9,32.0,71.1,46.5,17.8,63.1,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Davis,1997,2000,4,F,6-9,6.75,240.0,40,1.4,1.3,0.1,35.6,23.4,46.2,35.6,12.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bill Davis,1947,1947,1,F,6-3,6.25,215.0,47,1.8,3.0,0.2,24.0,23.4,34.1,45.3,10.9,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bob Davis,1973,1973,1,F,6-7,6.583333333333333,215.0,9,1.8,0.6,0.2,21.4,23.4,66.7,45.3,-1.0,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brad Davis,1978,1992,15,G,6-3,6.25,180.0,961,8.2,1.8,4.9,51.0,32.1,82.8,53.4,14.7,53.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brian Davis,1994,1994,1,G-F,6-7,6.583333333333333,200.0,68,1.9,0.8,0.3,31.7,33.3,73.5,32.1,9.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charles Davis,1982,1990,9,F,6-7,6.583333333333333,215.0,415,5.3,2.4,0.7,45.1,17.0,73.7,45.5,11.6,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlie Davis,1972,1974,3,G,6-2,6.166666666666667,160.0,144,8.9,1.5,2.2,40.8,27.9,80.6,44.1,11.9,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dale Davis,1992,2007,16,F-C,6-11,6.916666666666667,230.0,1094,8.0,7.9,0.9,53.0,0.0,56.2,53.0,15.2,86.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deyonta Davis,2017,2019,3,F-C,6-11,6.916666666666667,237.0,107,4.2,3.2,0.4,59.9,0.0,63.5,59.9,15.4,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dwight Davis,1973,1977,5,F,6-8,6.666666666666667,220.0,340,8.6,5.9,1.6,42.3,23.4,73.0,45.3,12.3,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ed Davis,2011,2022,12,F,6-9,6.75,218.0,722,5.9,6.4,0.7,56.7,0.0,58.3,56.7,16.4,43.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emanual Davis,1997,2003,7,G,6-4,6.333333333333333,195.0,226,4.9,1.9,1.8,39.4,35.2,78.7,47.1,9.6,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glen Davis,2008,2015,8,F-C,6-9,6.75,289.0,514,8.0,4.4,0.9,44.7,18.2,70.0,44.8,12.4,18.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Harry Davis,1979,1980,2,F,6-7,6.583333333333333,220.0,44,4.0,1.6,0.4,43.6,23.4,68.9,43.6,10.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hubert Davis,1993,2004,12,G,6-5,6.416666666666667,183.0,685,8.2,1.5,1.7,45.8,44.1,83.7,53.7,11.8,27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jim Davis,1968,1975,8,F-C,6-9,6.75,225.0,597,6.7,5.2,1.2,46.1,17.7,67.4,48.4,14.2,19.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johnny Davis,1977,1986,10,G,6-2,6.166666666666667,170.0,750,12.9,2.0,4.5,44.8,17.6,82.1,45.0,14.3,38.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Josh Davis,2004,2012,9,F,6-8,6.666666666666667,235.0,67,2.3,1.7,0.3,37.3,32.9,72.4,45.0,11.0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee Davis,1969,1976,8,F-C,6-8,6.666666666666667,235.0,453,7.8,4.8,1.0,48.2,18.9,60.7,48.4,15.0,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mark Davis,1989,1989,1,G-F,6-6,6.5,195.0,33,3.8,1.1,0.4,48.0,10.0,82.4,48.5,15.0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mark Davis,1996,2000,5,G-F,6-7,6.583333333333333,210.0,230,5.5,3.0,1.3,44.2,24.6,65.5,45.5,11.9,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mel Davis,1974,1977,4,F,6-6,6.5,220.0,190,5.3,4.3,0.9,37.6,23.4,70.9,45.3,12.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mickey Davis,1972,1977,6,G-F,6-7,6.583333333333333,195.0,309,5.0,2.7,1.0,45.5,0.0,83.5,45.5,13.9,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Davis,1970,1973,4,G,6-3,6.25,185.0,242,10.1,2.1,1.7,42.4,26.1,76.5,42.5,12.2,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Davis,1983,1983,1,F,6-10,6.833333333333333,230.0,8,1.8,1.3,0.0,40.0,23.4,60.0,40.0,21.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monti Davis,1981,1981,1,F,6-7,6.583333333333333,205.0,2,1.5,2.0,0.0,20.0,23.4,20.0,20.0,4.5,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Davis,2007,2010,4,C,6-11,6.916666666666667,270.0,82,2.6,1.9,0.4,40.2,0.0,73.2,40.2,10.6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ralph Davis,1961,1962,2,G,6-4,6.333333333333333,180.0,150,8.0,1.7,2.8,40.9,27.9,67.7,44.1,9.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red Davis,1956,1956,1,C,6-7,6.583333333333333,220.0,3,0.7,1.3,0.3,0.0,14.2,100.0,45.9,-3.3,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ricky Davis,1999,2010,12,G,6-6,6.5,195.0,736,13.5,3.5,3.3,44.6,36.1,78.1,48.0,14.7,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ron Davis,1977,1982,6,G-F,6-6,6.5,198.0,78,5.3,1.8,0.7,42.0,25.0,57.1,42.2,10.7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terence Davis,2020,2022,3,G,6-4,6.333333333333333,201.0,163,8.5,3.0,1.5,43.7,36.6,83.5,54.1,13.5,4.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terry Davis,1990,2001,12,F-C,6-9,6.75,225.0,480,6.4,6.0,0.6,47.2,15.8,60.5,47.3,10.9,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Davis,2019,2019,1,C,6-10,6.833333333333333,266.0,1,0.0,1.0,0.0,0.0,14.2,62.5,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walt Davis,1954,1958,5,F-C,6-8,6.666666666666667,205.0,325,4.8,4.3,0.7,37.7,17.7,69.5,48.4,9.6,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walter Davis,1978,1992,15,G-F,6-6,6.5,193.0,1033,18.9,3.0,3.8,51.1,27.2,85.1,51.6,19.1,76.9,6,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Warren Davis,1968,1973,6,F-C,6-6,6.5,212.0,447,12.2,9.2,2.1,48.0,12.5,69.1,48.0,15.4,29.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willie Davis,1971,1971,1,C,6-8,6.666666666666667,234.0,8,2.3,1.6,0.3,46.7,14.2,50.0,46.7,16.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andre Dawkins,2015,2015,1,G,6-5,6.416666666666667,215.0,4,0.8,0.5,0.3,16.7,16.7,73.7,25.0,-5.0,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darryl Dawkins,1976,1989,14,C,6-11,6.916666666666667,251.0,726,12.0,6.1,1.3,57.2,13.3,68.5,57.2,15.8,46.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johnny Dawkins,1987,1995,9,G,6-2,6.166666666666667,165.0,541,11.1,2.5,5.5,45.6,33.0,85.7,47.4,14.7,21.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Dawkins,1980,1980,1,F,6-5,6.416666666666667,190.0,57,5.5,2.2,1.4,47.0,20.0,68.8,47.2,11.0,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Branden Dawson,2016,2016,1,F,6-6,6.5,225.0,6,0.8,0.7,0.0,40.0,23.4,100.0,40.0,7.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eric Dawson,2012,2012,1,F,6-9,6.75,250.0,4,3.8,2.5,0.0,58.3,23.4,50.0,58.3,14.6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jimmy Dawson,1968,1968,1,G,6-0,6.0,175.0,21,5.6,1.0,1.5,34.6,14.3,58.1,35.0,9.4,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tony Dawson,1991,1995,5,F,6-7,6.583333333333333,215.0,6,2.8,0.8,0.2,46.7,50.0,100.0,53.3,11.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Todd Day,1993,2001,9,G-F,6-6,6.5,188.0,483,12.3,3.4,1.5,40.6,34.5,73.9,46.2,14.1,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Daye,2010,2015,6,F,6-11,6.916666666666667,220.0,293,5.2,2.6,0.7,40.2,35.1,77.8,46.9,11.6,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Darren Daye,1984,1988,5,G-F,6-8,6.666666666666667,220.0,328,6.8,2.6,2.0,49.1,11.8,68.1,49.1,13.9,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nando De Colo,2013,2014,2,G,6-5,6.416666666666667,200.0,119,3.8,1.8,1.7,42.9,36.3,83.5,49.1,11.8,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Billy DeAngelis,1971,1971,1,G,6-1,6.083333333333333,180.0,8,1.3,0.8,1.0,50.0,27.9,66.7,50.0,3.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dave DeBusschere*,1963,1974,12,G-F,6-6,6.5,220.0,875,16.1,11.0,2.9,43.2,28.6,69.9,47.1,15.5,60.8,8,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
Andrew DeClercq,1996,2005,10,F-C,6-10,6.833333333333333,230.0,587,4.8,4.2,0.6,50.7,0.0,62.1,50.7,12.1,19.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Javin DeLaurier,2022,2022,1,F,6-10,6.833333333333333,237.0,1,0.0,1.0,0.0,41.0,23.4,67.6,45.3,15.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nate DeLong,1952,1952,1,C,6-6,6.5,220.0,17,3.8,1.8,0.8,47.6,14.2,68.6,45.9,21.3,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe DePre,1971,1973,3,G,6-3,6.25,185.0,119,7.0,1.9,1.6,47.7,20.0,73.5,47.8,7.6,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeMar DeRozan,2010,2022,13,G-F,6-6,6.5,220.0,957,20.8,4.4,3.9,46.5,28.8,83.7,47.8,18.9,83.7,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hank DeZonie,1951,1951,1,F-C,6-6,6.5,215.0,5,3.4,3.6,1.8,24.0,17.7,71.4,48.4,13.6,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greg Deane,1980,1980,1,G,6-4,6.333333333333333,190.0,7,1.4,0.9,0.9,18.2,100.0,71.4,22.7,4.5,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel Deck,2021,2022,2,F,6-8,6.666666666666667,232.0,17,6.0,2.7,1.7,49.4,21.1,81.8,51.9,15.1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dewayne Dedmon,2014,2022,9,C,7-0,7.0,245.0,477,6.4,5.9,0.7,52.7,33.8,73.5,56.6,15.1,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Don Dee,1969,1969,1,F,6-8,6.666666666666667,210.0,58,5.7,5.0,0.6,35.7,0.0,74.7,35.7,7.0,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archie Dees,1959,1962,4,F-C,6-8,6.666666666666667,205.0,190,8.1,4.8,0.7,40.2,17.7,79.4,48.4,15.1,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terry Dehere,1994,1999,6,G,6-2,6.166666666666667,190.0,402,8.0,1.5,2.6,41.1,37.8,77.9,47.3,12.7,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red Dehnert,1947,1947,1,F,6-3,6.25,175.0,10,1.4,3.0,0.0,40.0,23.4,33.3,45.3,10.9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryce Dejean-Jones,2016,2016,1,G,6-6,6.5,209.0,14,5.6,3.4,1.1,40.6,37.5,52.4,49.3,9.6,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Dekker,2016,2022,7,F,6-9,6.75,230.0,201,5.4,3.0,0.8,47.8,28.8,60.6,52.5,12.7,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vinny Del Negro,1989,2002,14,G,6-4,6.333333333333333,185.0,771,9.1,2.3,3.2,47.5,35.9,84.0,49.5,13.5,40.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malcolm Delaney,2017,2018,2,G,6-3,6.25,190.0,127,5.7,1.8,2.8,37.7,30.8,80.5,43.1,8.9,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bison Dele,1992,1999,8,F-C,6-9,6.75,235.0,413,11.0,6.2,1.1,52.8,14.3,69.1,52.8,16.5,22.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Carlos Delfino,2005,2013,9,G,6-6,6.5,230.0,507,8.1,3.6,1.7,40.1,36.5,75.8,49.4,12.6,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ángel Delgado,2019,2019,1,C,6-10,6.833333333333333,245.0,2,1.5,2.0,0.0,20.0,14.2,50.0,20.0,4.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
