Player,From,To,Years,Pos,Ht,Height,Wt,G,PTS,TRB,AST,FG%,FG3%,FT%,eFG%,PER,WS,All Star,All NBA,All ABA,All Rookie,All Defensive,BLK Champ,STL Champ,TRB Champ,AST Champ,Scoring Champ,Most Improved,Sixth Man,DPOY,ROY,AS MVP,CF MVP,Finals MVP,MVP,Championships,NBA 75 Team,ABA All-Time Team
Jason Sasser,1997,1999,3,F,6-7,6.583333333333333,225.0,14,2.1,1.1,0.3,41.2,33.3,50.0,42.6,7.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeryl Sasser,2002,2003,2,G,6-6,6.5,200.0,82,2.5,2.3,0.8,30.3,29.5,68.7,33.3,8.3,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tomáš Satoranský,2017,2022,6,G,6-7,6.583333333333333,210.0,388,6.9,2.9,4.1,46.8,35.4,82.0,52.3,13.3,17.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenny Satterfield,2002,2003,2,G,6-2,6.166666666666667,186.0,75,4.3,1.3,2.3,33.5,21.8,74.6,35.1,8.3,-1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pep Saul,1950,1955,6,G-F,6-2,6.166666666666667,185.0,384,5.6,2.0,1.6,36.0,28.6,73.9,47.1,10.5,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Woody Sauldsberry,1958,1966,9,F-C,6-7,6.583333333333333,220.0,462,10.7,7.8,1.1,34.8,17.7,61.0,48.4,8.9,-10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Glynn Saulters,1969,1969,1,G,6-2,6.166666666666667,175.0,22,2.7,0.9,0.5,31.4,0.0,68.2,31.4,5.7,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fred Saunders,1975,1978,4,F,6-7,6.583333333333333,210.0,210,5.3,3.0,1.1,44.3,23.4,68.2,45.3,11.4,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Don Savage,1952,1957,6,G-F,6-3,6.25,205.0,17,3.2,1.8,0.8,24.2,28.6,68.6,47.1,7.2,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Predrag Savović,2003,2003,1,G,6-6,6.5,225.0,27,3.1,0.9,0.8,31.2,15.4,72.4,33.3,6.0,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
